#ZEITBEREICH: 08.06.2015 bis 08.06.2016
Datum;Zeit;AABU NO2 AM1H [µg/m³];BIEL NO2 AM1H [µg/m³];BONN NO2 AM1H [µg/m³];BORG NO2 AM1H [µg/m³];BOTT NO2 AM1H [µg/m³];CHOR NO2 AM1H [µg/m³];DATT NO2 AM1H [µg/m³];DDCS NO2 AM1H [µg/m³];DMD2 NO2 AM1H [µg/m³];DUB2 NO2 AM1H [µg/m³];EIFE NO2 AM1H [µg/m³];ELAN NO2 AM1H [µg/m³];EVOG NO2 AM1H [µg/m³];GELS NO2 AM1H [µg/m³];HATT NO2 AM1H [µg/m³];HUE2 NO2 AM1H [µg/m³];JACK NO2 AM1H [µg/m³];JHNK NO2 AM1H [µg/m³];KRHA NO2 AM1H [µg/m³];LEV2 NO2 AM1H [µg/m³];LOER NO2 AM1H [µg/m³];MSGE NO2 AM1H [µg/m³];NETT NO2 AM1H [µg/m³];NIED NO2 AM1H [µg/m³];RAT2 NO2 AM1H [µg/m³];RODE NO2 AM1H [µg/m³];ROTH NO2 AM1H [µg/m³];SHW2 NO2 AM1H [µg/m³];SOES NO2 AM1H [µg/m³];SOLI NO2 AM1H [µg/m³];STYR NO2 AM1H [µg/m³];UNNA NO2 AM1H [µg/m³];VACW NO2 AM1H [µg/m³];VBID NO2 AM1H [µg/m³];VDOM NO2 AM1H [µg/m³];VDOR NO2 AM1H [µg/m³];VDUI NO2 AM1H [µg/m³];VEAE NO2 AM1H [µg/m³];VESN NO2 AM1H [µg/m³];VGES NO2 AM1H [µg/m³];VGLG NO2 AM1H [µg/m³];VHAM NO2 AM1H [µg/m³];VKCL NO2 AM1H [µg/m³];VKTU NO2 AM1H [µg/m³];VLEG NO2 AM1H [µg/m³];VMGF NO2 AM1H [µg/m³];VMGR NO2 AM1H [µg/m³];VMS2 NO2 AM1H [µg/m³];VOBM NO2 AM1H [µg/m³];VWEL NO2 AM1H [µg/m³];WALS NO2 AM1H [µg/m³];WAST NO2 AM1H [µg/m³];WESE NO2 AM1H [µg/m³];WULA NO2 AM1H [µg/m³]
05.08.2015;15:00;<10;<10;12;10;<10;10;<10;44;<10;13;<10;<10;<10;;<10;14;;;19;12;<10;;17;<10;<10;<10;<10;<10;<10;<10;<10;<10;32;28;30;28;20;70;52;51;;98;43;28;<10;39;29;28;30;27;;<10;<10;<10
05.08.2015;16:00;<10;<10;14;<10;<10;<10;<10;38;<10;13;<10;<10;<10;<10;<10;17;;17;;10;<10;;22;<10;<10;<10;<10;<10;<10;<10;<10;<10;56;43;20;25;22;59;30;43;;95;63;28;12;;28;28;33;33;;<10;<10;<10
05.08.2015;17:00;<10;<10;16;10;<10;<10;<10;;<10;;<10;<10;<10;<10;<10;17;;25;17;14;11;;21;<10;<10;<10;<10;<10;<10;<10;<10;<10;54;37;24;35;22;71;35;42;;96;70;34;12;38;23;28;;29;;<10;<10;<10
05.08.2015;18:00;;12;18;11;<10;12;10;43;<10;13;<10;<10;<10;<10;;21;;24;13;16;12;;19;15;<10;11;<10;<10;<10;<10;<10;<10;43;41;30;42;28;60;33;66;;98;105;41;16;28;16;19;32;36;;<10;<10;<10
05.08.2015;19:00;<10;20;20;19;<10;13;14;51;<10;14;<10;<10;<10;<10;<10;26;;25;11;19;10;;18;19;<10;11;<10;<10;<10;<10;<10;<10;36;36;28;31;36;66;31;42;;110;90;49;20;30;15;33;26;38;;<10;<10;11
05.08.2015;20:00;23;37;32;11;16;15;13;59;16;19;<10;<10;<10;11;<10;41;;15;37;22;12;;27;24;17;19;;13;36;<10;12;18;41;;62;43;;66;37;38;;;74;65;23;31;14;34;45;29;;<10;<10;12
05.08.2015;21:00;19;60;39;17;35;23;19;79;21;37;<10;14;16;30;<10;39;;16;53;24;25;;49;48;24;26;<10;15;43;<10;18;19;69;44;102;61;58;;39;50;;91;77;68;20;33;17;29;39;29;;<10;17;19
05.08.2015;22:00;15;56;77;21;47;21;23;69;40;56;<10;13;26;45;28;;;18;72;24;32;;34;72;26;;<10;15;31;<10;18;31;68;34;98;51;49;60;41;54;;66;114;;16;36;21;33;44;50;;<10;20;55
05.08.2015;23:00;15;64;68;13;44;21;41;46;49;50;<10;11;21;78;24;31;;22;33;19;22;;26;74;18;22;<10;15;11;<10;15;28;41;19;;;32;59;;79;;44;102;47;14;35;20;35;33;74;;<10;18;41
05.08.2015;24:00;11;68;67;<10;;30;45;27;28;53;<10;10;22;72;28;38;;32;20;31;19;;26;61;14;17;<10;20;<10;<10;17;18;39;12;58;32;28;47;25;90;;35;120;36;13;28;20;30;23;55;;14;25;29
06.08.2015;01:00;<10;48;69;<10;35;20;41;25;34;49;<10;11;30;66;25;21;;31;36;42;20;;32;38;11;19;<10;18;<10;<10;35;15;51;20;41;39;38;45;22;72;;32;51;37;21;29;25;19;31;37;;<10;26;19
06.08.2015;02:00;<10;29;62;14;37;14;36;21;26;60;<10;<10;28;54;16;23;;24;28;45;20;;;40;10;15;<10;14;<10;<10;34;15;49;24;33;34;46;39;16;59;;24;22;42;15;32;25;19;35;35;;<10;25;11
06.08.2015;03:00;<10;29;53;;36;16;31;23;20;68;<10;<10;50;45;10;24;;18;29;39;19;;30;43;15;13;<10;;14;<10;30;12;26;18;46;39;79;37;15;52;;21;19;49;16;29;29;21;38;35;;;24;14
06.08.2015;04:00;<10;31;53;22;33;27;26;28;41;64;<10;<10;58;42;14;25;;24;33;64;27;;44;31;<10;15;<10;26;19;<10;47;13;38;32;66;49;51;50;19;63;;42;40;50;27;36;34;20;56;49;;33;;15
06.08.2015;05:00;<10;;60;32;38;41;32;47;54;74;<10;17;55;47;38;32;;34;39;69;28;;49;42;12;20;<10;30;21;<10;;26;60;52;87;63;35;58;35;60;;78;79;43;40;47;34;36;78;67;;47;43;18
06.08.2015;06:00;<10;39;71;37;44;38;39;73;48;78;<10;15;64;43;38;44;;48;51;73;28;;60;43;19;22;<10;31;25;27;82;33;111;69;99;64;55;60;64;71;;95;122;65;57;54;39;59;92;101;;61;50;24
06.08.2015;07:00;<10;58;73;26;49;40;45;88;47;90;<10;12;71;51;61;51;;54;58;69;45;;56;44;32;26;<10;40;22;21;72;37;132;81;120;80;67;79;55;75;;109;125;69;53;59;43;54;115;98;;54;54;45
06.08.2015;08:00;12;49;61;40;71;42;49;77;57;60;<10;;75;76;59;50;;38;65;64;49;;53;56;23;32;<10;32;12;18;35;30;124;81;82;72;68;100;59;99;;114;93;69;39;61;46;50;94;114;;48;52;38
06.08.2015;09:00;11;44;31;34;62;38;;74;43;55;<10;16;50;41;;46;;29;47;35;48;;42;;21;28;<10;23;<10;11;23;16;113;72;57;52;35;77;42;89;;121;73;59;19;60;;57;85;93;;15;48;19
06.08.2015;10:00;<10;44;31;34;28;35;37;70;;68;;<10;31;27;19;46;;24;51;;49;;35;28;22;28;<10;17;<10;<10;21;<10;112;72;52;54;45;52;47;92;;103;104;53;21;54;44;52;87;69;38;11;37;
06.08.2015;11:00;<10;36;27;34;32;39;26;81;20;73;<10;13;25;23;27;37;;17;55;22;;10;25;20;27;24;<10;16;<10;<10;21;<10;97;58;36;39;51;46;39;99;;67;98;53;16;52;27;50;93;69;49;<10;33;17
06.08.2015;12:00;<10;11;28;24;42;28;17;99;18;62;<10;28;31;20;20;36;;11;45;16;47;<10;18;13;35;16;<10;<10;<10;<10;27;<10;;24;37;42;50;48;53;90;;98;;45;17;39;22;58;101;58;52;<10;25;13
06.08.2015;13:00;<10;<10;31;28;36;22;13;114;16;35;<10;23;27;22;16;26;;<10;17;14;31;<10;16;10;28;11;<10;14;<10;11;24;<10;82;20;36;44;43;41;44;103;;81;103;43;23;34;14;88;91;62;35;<10;17;15
06.08.2015;14:00;<10;13;;16;34;16;14;73;17;20;<10;24;27;19;14;15;;<10;24;14;23;<10;12;10;15;17;<10;<10;<10;;16;<10;83;28;45;56;36;50;47;105;;94;130;52;27;22;10;105;91;80;14;<10;<10;11
06.08.2015;15:00;<10;16;12;<10;28;12;15;117;16;17;<10;39;16;18;15;10;;<10;28;10;11;<10;12;13;11;22;<10;<10;;11;<10;<10;85;29;51;52;42;40;59;107;;70;149;76;;35;13;113;80;99;10;<10;<10;11
06.08.2015;16:00;<10;16;14;<10;13;14;12;156;20;19;<10;48;17;;22;<10;;;19;14;14;<10;<10;14;<10;29;<10;<10;<10;18;10;<10;99;24;63;60;40;25;46;94;;49;176;74;112;35;17;117;65;146;10;<10;<10;20
06.08.2015;17:00;<10;19;19;<10;12;<10;<10;170;25;18;<10;50;12;12;15;<10;;<10;;16;14;<10;10;14;<10;31;<10;12;<10;12;<10;<10;96;44;102;66;40;24;39;63;;51;151;79;96;;14;112;68;106;<10;<10;<10;17
06.08.2015;18:00;<10;23;10;<10;13;<10;<10;;18;;<10;63;11;13;18;<10;;<10;14;19;16;<10;11;14;<10;36;<10;<10;<10;14;<10;<10;91;47;123;65;44;31;39;65;;44;164;61;118;27;13;95;;142;11;15;13;15
06.08.2015;19:00;;19;17;14;18;10;<10;111;19;35;<10;83;16;25;15;10;;<10;<10;25;16;<10;17;22;12;48;<10;11;<10;15;12;<10;98;74;129;72;43;43;43;75;;76;139;72;123;44;17;77;74;126;16;23;13;15
06.08.2015;20:00;24;28;25;22;23;19;<10;119;40;40;<10;111;21;34;25;11;;<10;31;24;21;<10;17;21;22;90;<10;31;14;22;35;10;102;62;122;84;56;83;50;74;;91;151;86;130;38;17;52;94;114;25;31;13;22
06.08.2015;21:00;27;37;46;24;36;21;12;148;56;40;<10;91;26;32;36;20;;13;39;25;41;11;27;20;32;134;;44;32;36;26;23;109;;113;69;;88;60;92;;;141;90;123;33;15;38;97;131;24;28;16;54
06.08.2015;22:00;17;38;84;19;40;29;18;141;40;46;<10;92;31;29;27;30;;15;49;56;45;<10;22;18;50;121;<10;42;60;51;27;23;93;44;100;63;59;;59;75;;64;136;89;103;29;18;36;108;83;28;29;19;74
06.08.2015;23:00;17;24;104;16;28;35;16;94;45;38;<10;83;27;35;20;;;13;40;102;31;<10;23;20;39;;<10;38;33;31;31;19;79;29;89;53;46;66;53;61;;67;120;;88;34;21;29;56;104;22;20;13;70
06.08.2015;24:00;14;21;89;14;22;35;17;70;32;26;<10;57;25;32;22;23;;14;44;99;43;<10;26;16;48;109;<10;28;24;24;26;20;61;17;;;35;46;;47;;48;115;73;101;26;19;18;35;82;16;<10;<10;62
07.08.2015;01:00;17;18;68;12;;38;13;53;27;29;13;52;21;27;21;30;;16;37;70;38;<10;21;15;37;103;<10;28;18;22;25;20;46;16;42;24;37;40;32;44;;36;98;65;95;23;17;17;29;57;14;<10;<10;58
07.08.2015;02:00;22;23;58;<10;18;33;12;41;30;43;22;52;19;25;18;29;;21;31;37;27;<10;16;14;25;98;<10;37;33;21;19;15;36;11;31;26;22;31;28;35;;41;99;59;82;21;19;14;24;30;14;<10;<10;41
07.08.2015;03:00;20;14;49;<10;17;26;<10;29;20;29;24;35;20;24;17;26;;19;26;32;21;<10;;15;21;83;<10;22;28;16;16;14;36;12;36;17;20;29;25;35;;36;74;57;77;23;22;10;20;24;15;<10;<10;19
07.08.2015;04:00;19;13;35;;13;23;<10;30;23;39;42;33;20;30;19;27;;19;30;28;22;<10;16;16;19;71;<10;;31;12;20;16;33;17;46;24;33;41;25;32;;40;73;51;61;22;19;13;25;24;12;;<10;18
07.08.2015;05:00;15;19;42;12;20;16;11;41;34;29;14;29;27;36;19;26;;19;40;34;24;<10;15;16;19;60;<10;30;36;18;30;21;39;43;56;33;41;44;33;54;;62;83;48;62;23;20;15;45;34;13;28;;21
07.08.2015;06:00;20;;42;22;28;24;<10;49;36;42;45;57;41;35;22;25;;18;47;31;46;<10;18;14;30;47;<10;32;19;30;;16;53;60;55;43;56;64;55;54;;60;69;47;57;29;24;38;55;35;21;40;15;19
07.08.2015;07:00;29;34;46;15;34;21;27;71;32;49;34;29;39;45;29;38;35;30;56;38;36;29;38;16;25;57;<10;29;16;33;41;19;55;65;67;40;60;67;49;56;;70;75;66;39;50;42;57;48;53;42;11;16;33
07.08.2015;08:00;34;29;50;32;48;35;22;71;35;54;38;23;32;40;35;46;38;33;63;52;54;29;31;28;28;62;<10;25;<10;32;41;15;57;56;73;44;61;65;52;66;;100;98;81;64;45;39;58;54;70;56;15;18;38
07.08.2015;09:00;31;36;44;16;43;37;19;53;34;58;22;;33;34;25;52;30;35;42;45;30;23;30;39;21;48;<10;20;<10;24;36;13;51;61;69;42;54;62;37;44;;79;;81;43;43;39;44;47;51;47;15;21;40
07.08.2015;10:00;18;26;33;30;38;29;;93;22;50;14;21;35;37;;32;30;27;45;33;28;13;27;;21;34;<10;16;11;23;33;<10;53;47;66;33;50;68;44;58;;97;;77;39;54;;33;46;41;;10;18;31
07.08.2015;11:00;12;31;28;20;34;24;31;89;;44;;22;37;36;22;17;32;17;37;;28;;32;20;15;20;<10;11;<10;27;28;22;43;61;76;45;48;79;58;68;;97;;64;39;43;31;48;37;34;35;<10;15;25
07.08.2015;12:00;<10;30;13;<10;28;11;22;119;24;33;<10;20;27;27;15;14;21;16;39;19;;20;22;14;16;22;<10;<10;<10;15;20;13;46;67;99;35;50;81;56;46;;96;;54;31;27;23;35;41;25;29;<10;21;17
07.08.2015;13:00;11;25;10;<10;29;13;12;102;23;30;<10;27;21;23;10;10;14;<10;30;14;11;15;18;<10;17;22;<10;<10;<10;13;19;<10;;80;79;21;46;136;56;41;;89;99;60;28;34;16;31;47;30;26;<10;19;11
07.08.2015;14:00;24;32;10;<10;29;<10;<10;86;15;27;<10;34;24;32;16;10;10;11;27;<10;11;11;13;<10;11;19;<10;<10;<10;<10;23;<10;55;77;102;23;47;144;48;46;;88;111;51;29;37;18;27;67;42;21;<10;19;13
07.08.2015;15:00;30;38;;<10;12;<10;<10;90;18;25;<10;29;28;17;17;12;13;<10;34;<10;12;<10;11;<10;16;18;<10;<10;<10;;26;<10;66;59;105;29;44;163;51;46;;83;139;53;27;38;17;54;75;51;16;10;16;14
07.08.2015;16:00;17;33;17;<10;10;<10;<10;145;18;22;<10;26;19;<10;13;10;12;<10;36;10;16;<10;<10;<10;17;23;<10;<10;;<10;21;12;94;71;104;42;43;155;64;43;;80;133;85;;34;20;63;69;70;11;<10;12;12
07.08.2015;17:00;11;29;25;<10;20;<10;<10;181;15;19;;38;19;;14;10;14;;31;13;30;<10;<10;<10;18;29;<10;10;<10;11;23;12;118;74;97;36;44;105;62;53;;67;137;91;99;42;24;59;75;73;<10;<10;<10;15
07.08.2015;18:00;13;31;28;<10;20;<10;<10;153;16;24;;50;26;<10;11;16;21;18;;15;35;<10;17;<10;23;28;<10;<10;<10;13;21;<10;135;57;87;39;46;104;62;57;;63;118;83;102;;24;67;76;75;<10;<10;<10;12
07.08.2015;19:00;13;27;22;<10;13;18;<10;;18;;;49;18;16;12;28;23;17;28;28;33;<10;13;<10;22;34;<10;<10;<10;14;17;<10;117;48;99;33;33;86;50;48;;68;77;82;81;37;21;55;;60;<10;<10;<10;13
07.08.2015;20:00;;31;33;<10;15;21;<10;94;21;29;;47;19;19;11;37;28;16;37;39;31;12;18;11;28;52;<10;13;13;14;17;12;115;55;94;42;34;84;61;55;;72;68;80;61;41;23;59;69;43;10;<10;10;15
07.08.2015;21:00;13;30;25;13;18;19;10;121;22;42;;48;18;23;27;42;17;22;30;32;33;15;21;18;27;62;<10;25;22;17;15;18;96;45;90;59;24;82;65;58;;97;81;75;85;35;21;44;60;48;11;<10;13;28
07.08.2015;22:00;14;33;32;16;22;25;11;98;39;38;;46;17;21;28;22;20;16;34;28;25;21;20;27;19;46;;41;20;17;19;23;74;;98;66;;75;61;58;;;83;70;93;23;16;56;72;63;13;10;14;23
07.08.2015;23:00;14;37;26;11;21;15;11;68;31;34;;51;23;28;23;18;13;11;37;31;24;22;22;19;22;40;<10;25;18;14;20;33;54;30;80;54;33;;69;55;;65;70;61;56;24;15;46;51;28;13;<10;<10;16
07.08.2015;24:00;12;22;33;<10;18;15;11;58;29;29;;49;18;27;20;;<10;<10;31;21;22;17;13;17;19;;<10;24;13;10;20;28;54;21;56;50;32;41;37;45;;40;48;;46;17;12;35;45;37;16;<10;<10;18
08.08.2015;01:00;<10;15;23;<10;11;13;<10;49;17;25;;26;19;13;10;12;<10;<10;30;21;23;16;<10;13;18;23;<10;13;<10;<10;15;16;40;13;;;23;38;;33;;49;51;46;64;15;12;21;22;25;11;<10;<10;13
08.08.2015;02:00;<10;14;20;<10;;12;<10;53;16;26;;28;17;15;11;10;<10;<10;41;14;26;13;<10;13;15;25;<10;<10;<10;<10;16;12;37;<10;36;24;20;39;26;31;;35;52;40;47;12;10;17;23;25;<10;<10;<10;13
08.08.2015;03:00;<10;14;22;<10;14;<10;<10;41;14;18;;18;12;12;11;<10;<10;<10;26;22;22;13;<10;13;11;18;<10;13;<10;<10;14;15;27;<10;27;23;28;28;20;32;;21;34;36;30;11;11;17;23;;<10;<10;<10;12
08.08.2015;04:00;<10;<10;19;<10;14;<10;<10;45;20;19;;30;13;15;<10;<10;<10;<10;17;21;22;13;;21;16;20;<10;17;<10;<10;23;24;25;<10;27;25;34;33;22;33;;25;39;28;47;11;11;<10;23;24;12;<10;<10;10
08.08.2015;05:00;<10;13;22;;<10;12;<10;39;12;27;;24;17;<10;15;<10;<10;<10;22;16;17;10;<10;13;18;22;<10;;<10;11;14;18;36;16;31;23;19;38;24;29;;51;42;29;41;17;13;12;24;23;<10;;<10;11
08.08.2015;06:00;10;19;22;<10;<10;11;<10;47;<10;34;;24;14;12;19;<10;<10;<10;19;13;18;<10;<10;<10;20;23;<10;14;<10;<10;13;18;34;21;31;18;19;35;21;29;;41;49;32;52;21;11;13;27;24;<10;10;;12
08.08.2015;07:00;<10;;21;<10;13;19;<10;45;12;42;;38;19;12;16;<10;;<10;32;14;26;<10;<10;<10;12;28;<10;10;<10;22;;17;38;18;31;16;22;37;28;30;;39;62;40;60;17;13;20;29;31;10;16;<10;14
08.08.2015;08:00;<10;19;20;<10;14;23;<10;47;13;34;;33;21;11;18;<10;;<10;27;18;27;<10;<10;<10;14;29;<10;14;<10;15;16;13;42;23;37;19;22;40;25;34;;46;76;45;64;17;14;20;30;38;11;<10;<10;16
08.08.2015;09:00;<10;23;22;<10;16;19;<10;56;14;20;;32;19;<10;19;<10;;14;25;26;24;<10;<10;<10;18;25;<10;12;<10;17;15;11;52;28;39;21;23;43;33;31;;38;60;44;59;21;18;29;27;37;<10;<10;<10;10
08.08.2015;10:00;<10;23;16;<10;16;21;<10;66;11;23;;;18;<10;18;12;;12;27;29;24;<10;<10;<10;16;25;<10;14;<10;14;17;12;56;23;48;22;23;44;27;30;;29;59;40;52;21;18;27;39;31;<10;<10;<10;<10
08.08.2015;11:00;<10;27;16;<10;13;20;;72;12;26;;44;22;<10;;16;;<10;30;29;30;<10;<10;;16;25;<10;14;<10;16;10;10;78;33;57;20;31;62;37;47;;25;58;50;57;19;;25;50;40;;<10;<10;11
08.08.2015;12:00;<10;21;24;<10;<10;21;<10;83;;25;;43;15;<10;14;19;;<10;20;;25;;<10;<10;21;27;<10;11;<10;16;<10;11;79;35;68;18;40;68;35;50;;35;64;51;56;18;11;31;48;48;<10;<10;<10;11
08.08.2015;13:00;<10;28;36;<10;<10;24;<10;82;<10;28;;36;14;<10;12;12;;<10;17;35;;<10;<10;<10;21;29;<10;<10;<10;14;<10;<10;84;30;69;30;23;65;29;40;;35;;62;69;20;<10;35;44;45;<10;<10;<10;12
08.08.2015;14:00;<10;19;25;<10;<10;20;<10;96;<10;40;;25;11;<10;<10;<10;;<10;15;25;16;<10;<10;<10;14;32;<10;<10;<10;<10;<10;<10;;34;56;24;16;60;32;28;;28;60;65;56;18;<10;41;51;39;<10;<10;<10;10
08.08.2015;15:00;<10;21;27;<10;<10;17;<10;107;<10;34;;38;16;<10;<10;13;;<10;23;13;19;<10;<10;<10;<10;26;<10;<10;<10;<10;<10;<10;71;31;51;14;18;62;34;39;;39;65;98;32;17;<10;45;44;35;<10;12;<10;<10
08.08.2015;16:00;<10;19;;<10;<10;21;<10;104;<10;33;;40;<10;<10;10;14;;<10;21;11;21;<10;<10;<10;<10;22;<10;<10;<10;;<10;<10;86;31;59;35;22;54;35;38;;51;60;63;50;17;<10;34;49;41;<10;11;<10;<10
08.08.2015;17:00;<10;27;18;<10;10;24;<10;86;<10;15;;44;<10;<10;11;15;;<10;27;18;32;<10;12;<10;10;28;<10;<10;;14;<10;<10;57;31;60;33;30;67;33;30;;37;60;54;;<10;<10;52;43;38;<10;<10;<10;<10
08.08.2015;18:00;<10;25;23;<10;14;24;<10;61;<10;18;;39;13;;<10;12;;;34;21;28;<10;15;<10;<10;33;<10;<10;<10;21;<10;<10;68;31;64;13;36;55;30;30;;27;59;52;65;<10;<10;46;38;44;<10;<10;<10;<10
08.08.2015;19:00;<10;26;28;<10;14;15;<10;38;<10;21;;47;14;<10;<10;20;;<10;;29;18;<10;14;<10;<10;34;<10;<10;<10;16;11;<10;53;43;64;15;39;55;29;33;;50;44;54;39;;12;37;54;45;<10;<10;<10;13
08.08.2015;20:00;<10;28;27;<10;16;23;<10;;14;;;36;14;18;<10;14;;19;29;35;27;<10;15;13;17;31;<10;13;<10;19;18;<10;32;32;65;19;46;62;33;52;;70;46;42;32;33;23;47;;26;<10;<10;<10;16
08.08.2015;21:00;;17;19;<10;27;32;12;40;19;18;;30;14;30;<10;21;;23;32;40;30;<10;34;38;24;32;<10;14;<10;15;24;22;40;24;53;23;47;62;38;63;;64;75;37;39;32;24;28;55;27;11;<10;<10;27
08.08.2015;22:00;;15;16;<10;28;34;13;50;24;14;;19;22;44;<10;25;;21;30;42;26;<10;44;38;26;27;<10;22;18;14;42;31;50;27;44;39;67;59;31;66;;57;65;38;50;42;18;24;60;36;17;<10;11;33
08.08.2015;23:00;;19;14;<10;27;29;<10;67;38;25;;20;43;47;10;20;;25;32;56;23;11;31;28;42;51;;21;30;24;52;30;45;;61;49;;59;37;63;;;67;43;54;52;26;24;81;57;21;<10;19;30
08.08.2015;24:00;;23;10;<10;30;24;<10;70;36;17;;69;22;43;<10;33;;17;36;53;30;12;34;22;36;65;<10;20;24;30;52;30;57;17;66;43;71;;52;47;;34;69;58;43;45;37;19;62;49;13;<10;<10;35
09.08.2015;01:00;;15;16;<10;20;27;<10;64;24;31;;56;17;35;<10;;;20;42;44;33;10;22;<10;35;;<10;19;11;23;37;26;34;15;53;28;49;48;37;45;;28;48;;35;50;38;16;35;44;10;<10;<10;28
09.08.2015;02:00;;19;23;<10;15;34;<10;54;<10;15;;41;12;20;<10;38;;31;38;36;30;<10;16;<10;32;45;<10;12;<10;21;20;22;32;11;;;33;33;;30;;23;44;59;24;38;26;12;24;45;<10;<10;<10;23
09.08.2015;03:00;;16;28;<10;;37;<10;53;<10;21;;43;11;<10;<10;42;;26;39;31;27;<10;10;<10;32;40;<10;<10;<10;20;19;11;48;<10;29;18;35;26;15;19;;21;39;63;22;30;23;<10;17;40;<10;<10;<10;23
09.08.2015;04:00;;13;23;<10;<10;33;<10;35;<10;22;;30;12;<10;<10;41;;23;34;29;24;<10;<10;<10;26;30;<10;<10;<10;18;13;<10;40;<10;32;16;27;21;13;16;;15;38;42;27;28;20;<10;19;;<10;<10;<10;21
09.08.2015;05:00;;15;27;<10;13;23;<10;28;<10;17;;19;<10;<10;<10;34;;21;27;26;26;<10;;10;17;33;<10;<10;<10;15;13;<10;41;10;36;15;21;23;15;12;;17;38;38;26;28;19;<10;20;20;12;<10;<10;13
09.08.2015;06:00;;15;31;;14;18;<10;24;<10;17;;18;<10;10;<10;26;;19;24;22;28;<10;14;<10;18;39;<10;;<10;<10;11;<10;30;11;36;20;18;20;20;19;;11;37;34;34;24;19;<10;23;14;15;;<10;<10
09.08.2015;07:00;;15;21;<10;20;12;<10;16;<10;21;;11;<10;12;<10;19;;16;21;18;17;<10;14;<10;13;24;<10;<10;<10;<10;12;<10;32;16;24;16;16;18;11;17;;18;28;20;25;20;15;<10;18;12;19;<10;;<10
09.08.2015;08:00;;;22;<10;17;<10;<10;16;<10;14;;<10;<10;12;<10;11;;14;14;15;14;<10;13;10;<10;14;<10;<10;<10;<10;;<10;33;13;19;12;15;19;<10;17;;18;30;18;20;15;11;<10;14;11;18;<10;<10;<10
09.08.2015;09:00;;<10;21;<10;18;<10;<10;22;<10;18;;<10;<10;<10;<10;<10;14;10;13;11;14;<10;15;<10;<10;13;<10;<10;<10;<10;<10;<10;31;12;20;<10;15;17;<10;16;;13;25;25;17;12;<10;<10;16;12;13;<10;<10;<10
09.08.2015;10:00;;<10;13;<10;<10;<10;<10;17;<10;12;;<10;<10;<10;<10;14;13;<10;18;<10;<10;<10;10;<10;<10;10;<10;<10;<10;<10;<10;<10;34;19;24;<10;21;19;11;15;;29;36;19;12;<10;<10;13;26;12;13;<10;<10;<10
09.08.2015;11:00;;11;<10;<10;<10;<10;<10;32;<10;18;;;<10;<10;<10;13;12;<10;18;<10;<10;<10;21;<10;<10;11;<10;<10;<10;<10;12;<10;46;20;26;<10;27;29;11;17;;28;57;30;11;<10;<10;<10;26;21;<10;<10;<10;<10
09.08.2015;12:00;;12;<10;<10;<10;<10;;42;<10;14;;11;<10;<10;;14;<10;<10;22;<10;<10;<10;<10;;<10;11;<10;<10;<10;<10;10;<10;41;23;37;12;22;34;13;18;;34;58;42;<10;15;;18;27;25;;<10;<10;<10
09.08.2015;13:00;;12;<10;<10;<10;<10;<10;39;;15;;10;<10;<10;<10;10;<10;<10;19;;11;;13;<10;<10;15;<10;<10;<10;<10;<10;<10;38;25;50;16;25;43;14;22;;54;38;26;24;22;13;<10;26;33;<10;<10;<10;<10
09.08.2015;14:00;;11;<10;<10;<10;<10;<10;46;<10;16;;14;<10;<10;10;<10;<10;<10;23;10;;<10;<10;<10;<10;15;<10;<10;<10;<10;10;<10;56;21;49;23;26;62;16;24;;43;;26;17;25;20;22;24;26;<10;<10;<10;<10
09.08.2015;15:00;;25;<10;<10;<10;<10;<10;43;<10;13;;16;<10;<10;<10;<10;<10;13;25;10;<10;<10;<10;<10;<10;18;<10;<10;<10;<10;11;<10;;37;46;25;24;47;21;27;;43;75;44;38;27;22;24;30;26;<10;<10;<10;<10
09.08.2015;16:00;;19;13;<10;<10;<10;<10;57;<10;17;;19;<10;<10;<10;11;19;15;27;<10;<10;<10;<10;<10;11;19;<10;<10;<10;<10;<10;<10;78;39;37;14;27;43;19;26;;52;74;44;44;26;16;21;33;31;<10;<10;<10;<10
09.08.2015;17:00;;20;;<10;<10;<10;<10;76;<10;16;;27;<10;<10;<10;13;20;17;31;12;11;<10;<10;<10;<10;22;<10;<10;<10;;11;<10;77;40;50;28;30;50;24;30;;56;71;55;54;28;18;19;54;37;<10;<10;<10;<10
09.08.2015;18:00;;21;21;<10;<10;<10;<10;68;<10;17;;32;<10;14;11;17;22;17;30;21;14;<10;<10;<10;<10;34;<10;<10;;15;13;<10;84;39;67;38;29;56;29;40;;77;77;59;59;29;20;18;62;44;<10;<10;<10;11
09.08.2015;19:00;;31;27;<10;11;11;<10;92;10;38;;40;<10;;15;18;20;;37;16;22;<10;<10;<10;17;37;<10;<10;<10;15;14;<10;81;39;55;44;24;74;32;46;;40;71;57;82;28;15;19;73;49;<10;<10;<10;12
09.08.2015;20:00;;28;33;10;21;14;<10;100;<10;32;;66;15;18;19;23;12;12;;23;29;<10;12;<10;25;37;<10;11;<10;21;15;<10;94;43;73;47;25;71;45;59;;43;80;54;88;;<10;41;68;50;<10;<10;14;13
09.08.2015;21:00;;35;38;16;23;17;<10;;23;;;85;18;25;16;29;<10;11;54;34;27;15;36;<10;33;41;<10;15;15;24;16;23;90;42;79;44;32;84;56;53;;51;96;61;83;25;11;47;;37;13;<10;12;15
